epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,524.672,1.06919,2.42992,1.00106,0.9846,0.14825,0.16743,0.12166,0.99293,1.3117,0.92944,0.000330749,0.000330749,0.000330749
2,1053.58,0.91036,0.98175,0.91645,0.89694,0.28001,0.28267,0.21709,0.81551,0.70282,0.91037,0.000657508,0.000657508,0.000657508
3,1575.67,0.86442,0.7295,0.90128,0.55824,0.47506,0.30916,0.23288,0.77505,0.58447,0.89347,0.000977667,0.000977667,0.000977667
4,2127.91,0.82508,0.6242,0.89341,0.40852,0.44478,0.3096,0.24196,0.80295,0.5525,0.89378,0.0009703,0.0009703,0.0009703
5,3028.17,0.79803,0.55461,0.88502,0.5688,0.44548,0.3172,0.25158,0.79926,0.51301,0.89558,0.0009604,0.0009604,0.0009604
6,3958.23,0.80101,0.54018,0.89028,0.40445,0.48157,0.31961,0.25231,0.75448,0.51696,0.88801,0.0009505,0.0009505,0.0009505
7,4886.4,0.79681,0.52122,0.88739,0.40721,0.51551,0.32563,0.26012,0.76269,0.48028,0.88605,0.0009406,0.0009406,0.0009406
8,5866.35,0.78227,0.50497,0.88352,0.58583,0.39518,0.32911,0.26197,0.77806,0.48662,0.89313,0.0009307,0.0009307,0.0009307
9,6641.46,0.77227,0.49447,0.88331,0.26502,0.52436,0.35687,0.2847,0.78976,0.45365,0.89832,0.0009208,0.0009208,0.0009208
10,7349.7,0.76088,0.47353,0.87911,0.81298,0.3916,0.39053,0.31623,0.75635,0.44676,0.89035,0.0009109,0.0009109,0.0009109
11,8010.23,0.75947,0.46694,0.87858,0.83871,0.41106,0.40977,0.33328,0.74932,0.4503,0.88865,0.000901,0.000901,0.000901
12,8781.69,0.76747,0.46666,0.88403,0.85447,0.37751,0.3965,0.32733,0.72961,0.43708,0.88517,0.0008911,0.0008911,0.0008911
13,9457.11,0.7527,0.45116,0.88351,0.56192,0.51754,0.45624,0.37501,0.71507,0.42131,0.88211,0.0008812,0.0008812,0.0008812
14,10041.1,0.75095,0.44428,0.87989,0.7177,0.51836,0.47831,0.3963,0.71538,0.4033,0.87947,0.0008713,0.0008713,0.0008713
15,10598.3,0.74413,0.43526,0.8782,0.57952,0.63609,0.48297,0.40434,0.72444,0.40094,0.88236,0.0008614,0.0008614,0.0008614
16,11158.8,0.73971,0.4242,0.87632,0.72359,0.48375,0.45768,0.37916,0.7147,0.40334,0.87824,0.0008515,0.0008515,0.0008515
17,11718.2,0.73481,0.41895,0.87661,0.52634,0.58048,0.48648,0.3995,0.71561,0.39276,0.88123,0.0008416,0.0008416,0.0008416
18,13069.1,0.73994,0.42015,0.87686,0.70562,0.52513,0.52762,0.43767,0.71155,0.38623,0.8806,0.0008317,0.0008317,0.0008317
19,13663.9,0.743,0.42093,0.87661,0.37919,0.68288,0.525,0.43575,0.72077,0.40447,0.88228,0.0008218,0.0008218,0.0008218
20,14337.9,0.7354,0.41051,0.8735,0.55615,0.62513,0.55172,0.4592,0.71673,0.38661,0.88332,0.0008119,0.0008119,0.0008119
21,14900.6,0.73381,0.40845,0.8759,0.40263,0.81844,0.59339,0.49657,0.70948,0.3794,0.87867,0.000802,0.000802,0.000802
22,15467.5,0.73823,0.40682,0.87769,0.47574,0.7359,0.61005,0.51103,0.73113,0.38664,0.88573,0.0007921,0.0007921,0.0007921
23,16035.9,0.72818,0.39959,0.87464,0.46857,0.77423,0.61895,0.51718,0.70326,0.37475,0.87835,0.0007822,0.0007822,0.0007822
24,16605.2,0.73391,0.40231,0.87509,0.57281,0.69354,0.64862,0.54198,0.70317,0.37484,0.8774,0.0007723,0.0007723,0.0007723
25,17184.6,0.73112,0.39837,0.87427,0.48306,0.74452,0.6429,0.53287,0.74338,0.37301,0.88789,0.0007624,0.0007624,0.0007624
